PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=757 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=762 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=758 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=764 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=760 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=757 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=770 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=758 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=771 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=767 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=763 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=768 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=764 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=777 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=765 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=779 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=777 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=774 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=779 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=775 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=773 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=778 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=783 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=780 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=785 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=781 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=786 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=783 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=780 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=793 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=790 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=786 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=791 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=787 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=793 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=789 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=803 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=791 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=789 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=802 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=799 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=796 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=800 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=797 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=802 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=807 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=805 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=801 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=807 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=804 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=809 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=805 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=809 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=810 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=807 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=812 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=818 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=815 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=818 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=814 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=818 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=818 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=815 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=826 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=826 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=823 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=825 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=822 ms
